time,base_x,base_y,base_yaw,base_vx,base_vy,base_yaw_rate,payload_x,payload_y,payload_z,payload_rel_x,payload_rel_y,payload_rel_z,x_des,y_des,yaw_des,tracking_error,yaw_error,ctrl_x,ctrl_y,ctrl_yaw
0.0,2.4755048088080766e-07,-2.8963980062096875e-11,4.008105140426077e-09,0.00012377524044040382,-1.4481990031048436e-08,2.0040525702130386e-06,0.12,0.05,0.75,0.12,0.05,0.6,0.0,0.0,0.0,2.47550482575234e-07,-4.008104959041248e-09,3.0,0.0,0.0
0.002,7.442800989769425e-07,-8.733647581463146e-11,1.2066914059484314e-08,0.0002483648090480674,-2.9186247876267294e-08,4.029404459529118e-06,0.1200002406999029,0.05000000043984683,0.7510897557483195,0.11999999314942202,0.050000000468810805,0.6010897557483195,0.0005,0.0,0.0,0.0004992557199010308,-1.206691413457861e-08,3.021003557343075,1.750872594753756e-07,-1.2124518045254263e-05
0.004,1.491832472725475e-06,-1.754996710359461e-10,2.421465143506759e-08,0.00037377618687426615,-4.408159761065732e-08,6.073868687791639e-06,0.12000072504161932,0.050000001326563265,0.7530316378462422,0.11999998076152034,0.05000000141389974,0.6030316378462421,0.001,0.0,0.0,0.00099850816752729,-2.4214651617171512e-08,3.0419861296869692,3.54165115926866e-07,-2.4478099610539172e-05
0.006,2.4918626990504808e-06,-2.937858962079619e-10,4.04860467146277e-08,0.0005000151131625029,-5.914311258600789e-08,8.135697639780052e-06,0.12000145570969396,0.05000000266623113,0.755628518078657,0.11999996387722124,0.0500000028417308,0.605628518078657,0.0015,0.0,0.0,0.0014975081373009784,-4.048604651529786e-08,3.0629475532962362,5.368766565245054e-07,-3.704857841717912e-05
0.008,3.7460345862829654e-06,-4.424875846147118e-10,6.091303177868924e-08,0.0006270859436162424,-7.435084420337496e-08,1.0213492532030772e-05,0.12000243518396947,0.05000000446418053,0.7587174052977502,0.11999994332127042,0.050000004757966426,0.6087174052977502,0.002,0.0,0.0,0.001996253965413766,-6.091303195177034e-08,3.0838876848205925,7.22937716361453e-07,-4.982633700156276e-05
0.01,5.256018453842639e-06,-6.218652132870618e-10,8.552529538747349e-08,0.0007549919337798368,-8.968881433617498e-08,1.2306131804392125e-05,0.12000366578140087,0.0500000067251406,0.762164048498172,0.11999991974681459,0.05000000716762818,0.612164048498172,0.0025,0.0,0.0,0.002494743981546235,-8.552529529026742e-08,3.1048063971202224,9.121220717481616e-07,-6.28037809909789e-05
0.012,7.023489381079626e-06,-8.321536425884416e-10,1.1435072413058213e-07,0.0008837354636184936,-1.0514421465068993e-07,1.4412714371554314e-05,0.12000514968928847,0.050000009453359744,0.7658583622633466,0.11999989367083462,0.050000010075224956,0.6158583622633466,0.003,0.0,0.0,0.0029929765106190363,-1.1435072400090007e-07,3.125703575964219,1.1042497066320175e-06,-7.597492320860944e-05
0.014,9.05012581275856e-06,-1.073567179997462e-09,1.4741575326080373e-07,0.001013318215839467,-1.207067687045102e-07,1.6532514565110797e-05,0.12000688899170991,0.050000012652701625,0.7697105512987344,0.11999986550232883,0.05000001348485527,0.6197105512987344,0.0035,0.0,0.0,0.003490949874187406,-1.4741575338206303e-07,3.1465791174144293,1.299177489724759e-06,-8.933505432934839e-05
0.016,1.1337608448226432e-05,-1.3463036249858797e-09,1.847456458505087e-07,0.0011437413177339355,-1.3636822249420884e-07,1.8664946294852495e-05,0.12000888569055242,0.05000001632672183,0.7736478291116503,0.11999983556473966,0.05000001740028901,0.6236478291116503,0.004,0.0,0.0,0.0039886623915520005,-1.8474564589254783e-07,3.1674329257483524,1.4967917475540083e-06,-0.00010288048122521635
0.018000000000000002,1.3887619356576555e-05,-1.6505474985277811e-09,2.2636471484973162e-07,0.0012750054541750618,-1.5212193677095067e-07,2.0809534499611448e-05,0.12001114172224969,0.050000020478729125,0.7776116415211771,0.11999980411380147,0.05000002182503275,0.6276116415211771,0.0045000000000000005,0.0,0.0,0.004486112380643728,-2.2636471497250454e-07,3.188264911807023,1.6970023330548707e-06,-0.00011660831891642867
0.020000000000000004,1.6719163805902745e-05,-1.9545978620266697e-09,2.679160903524131e-07,0.0014157722246630948,-1.5202518174944417e-07,2.0775687751340755e-05,0.12001365897109718,0.05000002511183436,0.7815553189884055,0.11999977135174061,0.050000026762381855,0.6315553189884054,0.005000000000000001,0.0,0.0,0.004983280836194481,-2.679160902019362e-07,3.2090749916788535,1.8997378786851581e-06,-0.0001305163248719813
0.022000000000000006,1.983403308237943e-05,-2.2584536331083413e-09,3.0939941365902927e-07,0.001557434638238342,-1.5192788554083582e-07,2.074166165330806e-05,0.12001617621994468,0.05000002974493959,0.7854597564556338,0.11999945705613878,0.05000003169953745,0.6354597564556338,0.005500000000000001,0.0,0.0,0.005480165966918088,-3.093994136449396e-07,3.229758370932777,1.91225908478453e-06,-0.00013135202876309293
0.024000000000000007,2.3234016251835054e-05,-2.5621137308326576e-09,3.508143273927134e-07,0.0016999915847278123,-1.5183004886215814e-07,2.0707456866842077e-05,0.12001869346879217,0.05000003437804482,0.7893249539228622,0.11999885943570979,0.050000036636498456,0.6393249539228621,0.006000000000000002,0.0,0.0,0.0059767659837487155,-3.508143273656117e-07,3.2504182528524326,1.924765039979905e-06,-0.00013218495526097187
0.02600000000000001,2.6920900154048095e-05,-2.8655770756969347e-09,3.9216047550118856e-07,0.00184344195110652,-1.5173167243213845e-07,2.0673074054237565e-05,0.12002121071763966,0.050000039011150056,0.7931509113900905,0.11999797670138783,0.050000041573263786,0.6431509113900905,0.006500000000000002,0.0,0.0,0.006473079099846589,-3.921604756484953e-07,3.2710545702519336,1.9372557042333672e-06,-0.00013301509938519276
0.02800000000000001,3.089646939705537e-05,-3.168842589639324e-09,4.3343750325867136e-07,0.001987784621503637,-1.5163275697119483e-07,2.0638513878741393e-05,0.12002372796648715,0.05000004364425529,0.7969376288573189,0.1199968070663331,0.05000004650983236,0.6469376288573189,0.007000000000000003,0.0,0.0,0.006969103530603668,-4.3343750322222263e-07,3.2916672560797897,1.9497310375920235e-06,-0.00013384245621663777
0.030000000000000013,3.5162506351472666e-05,-3.471909196042189e-09,4.746450572677685e-07,0.0021330184772086493,-1.5153330320143235e-07,2.0603777004548575e-05,0.12002624521533464,0.05000004827736052,0.8006851063245473,0.11999534874593759,0.05000005144620311,0.6506851063245472,0.007500000000000003,0.0,0.0,0.007464837493649338,-4.74645057479961e-07,3.312256243419089,1.9621910001881074e-06,-0.00013466702085300394
0.032000000000000015,3.972079114482771e-05,-3.774775819735467e-09,5.157827854613402e-07,0.0022791423966775225,-1.514333118466391e-07,2.056886409678588e-05,0.12002876246418213,0.050000052910465755,0.8043933437917756,0.11999359995783067,0.05000005638237495,0.6543933437917756,0.008000000000000004,0.0,0.0,0.00796027920885607,-5.157827853707886e-07,3.33282146548768,1.974635552239087e-06,-0.00013548878846429048
0.034000000000000016,4.4573101655905456e-05,-4.077441387000032e-09,5.56850337104366e-07,0.0024261552555388745,-1.5133278363228236e-07,2.0533775821512866e-05,0.12003127971302963,0.05000005754357099,0.808062341259004,0.1199915589218848,0.050000061318346806,0.658062341259004,0.008500000000000004,0.0,0.0,0.008455426898345083,-5.56850336952408e-07,3.3533628556383523,1.9870646540477654e-06,-0.00013630775421498502
0.03600000000000002,4.972121350910577e-05,-4.379904825571041e-09,5.97847362795772e-07,0.002574055926600157,-1.5123171928550466e-07,2.0498512845703017e-05,0.12003379696187712,0.05000006217667622,0.8116920987262324,0.1199892238602212,0.050000066254117605,0.6616920987262324,0.009000000000000005,0.0,0.0,0.008950278786491971,-5.978473627266112e-07,3.373880347359018,1.9994782660023897e-06,-0.0001371239133528874
0.03800000000000002,5.5166900068813447e-05,-4.68216506464128e-09,6.387735144702517e-07,0.00272284327985384,-1.511301195351199e-07,2.046307583723985e-05,0.12003631421072461,0.05000006680978145,0.8152826161934608,0.11998659299721551,0.05000007118968628,0.6652826161934607,0.009500000000000005,0.0,0.0,0.009444833099932352,-6.387735145274576e-07,3.3943738742728886,2.0118763485767527e-06,-0.00013793726114238338
0.04000000000000002,6.0911932433780666e-05,-4.984221034864499e-09,6.796284454000677e-07,0.0028725161824836106,-1.5102798511160945e-07,2.0427465464908028e-05,0.1200388314595721,0.050000071442886686,0.8188338936606891,0.1199836645595033,0.05000007612505175,0.6688338936606891,0.010000000000000005,0.0,0.0,0.009939088067567473,-6.796284455212742e-07,3.414843370138658,2.0242588623302966e-06,-0.00013874779288662554
0.04200000000000002,6.69580794315218e-05,-5.286071668358736e-09,7.204118101968368e-07,0.0030230734988705705,-1.5092531674711818e-07,2.039168239838451e-05,0.12004134870841959,0.05000007607599192,0.8223459311279175,0.11998043677598581,0.050000081060212954,0.6723459311279175,0.010500000000000006,0.0,0.0,0.010433041920569824,-7.204118102066559e-07,3.435288768850677,2.036625767908216e-06,-0.00013955550392748001
