time,base_x,base_y,base_yaw,base_vx,base_vy,base_yaw_rate,payload_x,payload_y,payload_z,payload_rel_x,payload_rel_y,payload_rel_z,x_des,y_des,yaw_des,tracking_error,yaw_error,ctrl_x,ctrl_y,ctrl_yaw
0.0,3.960807694092124e-07,-4.634236820815582e-11,6.412968224814081e-09,0.0001980403847046062,-2.317118410407791e-08,3.20648411240704e-06,0.12,0.05,0.75,0.12,0.05,0.6,0.0,0.0,0.0,3.9608077212029464e-07,-6.412968378555206e-09,4.800000000000001,0.0,0.0
0.002,1.1908481583632118e-06,-1.3973835984513745e-10,1.9307062534010948e-08,0.0003973836944769997,-4.6697995818490816e-08,6.447047154598433e-06,0.12000038511984464,0.050000000703754925,0.7510897557483196,0.11999998903907523,0.05000000075009729,0.6010897557483196,0.0008,0.0,0.0,0.0007988091518416491,-1.9307062615325776e-08,4.833605691748922,2.8013961581830196e-07,-1.939922888390612e-05
0.004,2.3869319563618654e-06,-2.807994654744546e-10,3.874344249113634e-08,0.0005980418989993267,-7.053055281465857e-08,9.718189978562694e-06,0.12000116006659091,0.0500000021225012,0.7530316378462424,0.11999996921843255,0.05000000226223956,0.6030316378462424,0.0016,0.0,0.0,0.0015976130680436626,-3.874344267629226e-08,4.86717780749915,5.66664176014921e-07,-3.916495949297374e-05
0.006,3.9869803184845825e-06,-4.700574085036394e-10,6.477767533270288e-08,0.0008000241810613584,-9.462897151459243e-08,1.3017116420783268e-05,0.12000232913551032,0.05000000426596968,0.7556285180786573,0.11999994220355395,0.050000004546769145,0.6056285180786573,0.0024000000000000002,0.0,0.0,0.0023960130196815617,-6.477767522383715e-08,4.900716085273973,8.590026097222532e-07,-5.927772593828347e-05
0.008,5.993655338062253e-06,-7.079800750934271e-10,9.746085223093176e-08,0.001003337509788835,-1.1896133329489382e-07,1.634158844911444e-05,0.12000389629435107,0.05000000714268846,0.7587174052977504,0.11999990931403258,0.05000000761274587,0.6087174052977504,0.0032,0.0,0.0,0.0031940063446620165,-9.746085227746448e-08,4.934220295712932,1.1567002415577729e-06,-7.972214040529554e-05
0.01,8.40962952616811e-06,-9.949842198320734e-10,1.3684047540937227e-07,0.0012079870940529284,-1.4350207236932318e-07,1.968981158922025e-05,0.12000586525024122,0.05000001076022404,0.7621640484981722,0.11999987159490316,0.05000001146820412,0.6121640484981722,0.004,0.0,0.0,0.003991590370473956,-1.3684047539541666e-07,4.967690235392322,1.45939510291793e-06,-0.00010048605200162325
0.012,1.1237583009764485e-05,-1.3314456092883166e-09,1.8296116366329303e-07,0.0014139767417981875,-1.682306947281216e-07,2.306034412696038e-05,0.12000823950286121,0.05000001512537375,0.7658583622633468,0.11999982987333505,0.05000001612035797,0.6158583622633468,0.0048000000000000004,0.0,0.0,0.004788762416990421,-1.8296116355287495e-07,5.001125721542688,1.7667991583243214e-06,-0.00012155988142020693
0.014,1.4480201300477388e-05,-1.7177071242542586e-09,2.3586521369467e-07,0.0016213091453564517,-1.9313075748297102e-07,2.6452025015688482e-05,0.12001102238673526,0.05000002024431927,0.7697105512987347,0.1199997848037255,0.05000002157576488,0.6197105512987346,0.005600000000000001,0.0,0.0,0.005585519798699788,-2.358652135825423e-07,5.034526587862983,2.078683389155434e-06,-0.00014293609385058415
0.016,1.8140173517265093e-05,-2.1540852317459868e-09,2.95593046763278e-07,0.0018299861083938536,-2.181890537458641e-07,2.9863916534304017e-05,0.12001421710488287,0.0500000261227494,0.7736478291116504,0.1199997369035824,0.05000002784045652,0.6236478291116504,0.0064,0.0,0.0,0.006381859826483098,-2.955930469283885e-07,5.067892681197201,2.394865910387094e-06,-0.00016460878043369446
0.018000000000000002,2.2220190970680493e-05,-2.6408751523995213e-09,3.62183563980465e-07,0.0020400087267077004,-2.4339496032676726e-07,3.3295258608593475e-05,0.12001782675559791,0.05000003276595796,0.7776116415211771,0.11999968658208064,0.050000034920043186,0.6276116415211771,0.0072000000000000015,0.0,0.0,0.007177779809029807,-3.6218356402883956e-07,5.101223858890997,2.7152024803789388e-06,-0.00018657332537903382
