experiment,time,base_x,base_y,base_yaw,base_vx,base_vy,base_yaw_rate,payload_x,payload_y,payload_z,payload_rel_world_x,payload_rel_world_y,payload_rel_world_z,payload_disp_world_x,payload_disp_world_y,payload_disp_world_z,payload_rel_base_x,payload_rel_base_y,payload_rel_base_z,payload_disp_base_x,payload_disp_base_y,payload_disp_base_z,payload_distance,payload_distance_change,x_des,y_des,yaw_des,x_error,y_error,tracking_error,yaw_error,ctrl_x,ctrl_y,ctrl_yaw,control_effort,total_control_effort,ctrl_x_saturated,ctrl_y_saturated,disturbance_fx
fixed_payload,0.0,1.491872874778733e-06,-2.296207820872939e-08,3.614517263212019e-07,0.0007459364373893665,-1.1481039104364694e-05,0.00018072586316060095,0.12,0.05,0.855,0.12,0.05,0.705,0.0,0.0,0.0,0.12,0.05,0.705,0.0,0.0,0.0,0.7168856254661548,0.0,0.0,0.0,0.0,-1.491872874778733e-06,2.296207820872939e-08,1.4920495740880143e-06,-3.614517263272887e-07,28.0,0.0,0.0,28.0,28.0,False,False,0.0
fixed_payload,0.002,4.477538126487449e-06,-6.885320042699284e-08,1.0841900524574084e-06,0.0014928326258543578,-2.2945561109131724e-05,0.0003613691630681033,0.12000147380028063,0.05000002041212569,0.855,0.11999998192740585,0.0500000433742039,0.705,-1.807259414343676e-08,4.3374203895218955e-08,0.0,0.12000000000000002,0.05000000000000001,0.705,2.7755575615628914e-17,6.938893903907228e-18,0.0,0.7168856254661548,0.0,0.0016,0.0,0.0,0.0015955224618735126,6.885320042699284e-08,0.0015955224633591586,-1.0841900524027892e-06,28.037832549776383,0.00040275485178111343,-0.0010933914721217878,28.037832552669105,28.037832573988602,False,False,0.0
fixed_payload,0.004,8.958910105397572e-06,-1.3763998525835014e-07,2.1680448046931e-06,0.0022406859894550614,-3.439339241567865e-05,0.0005419273761178457,0.12000442332855335,0.05000006124957649,0.855,0.11999994579042686,0.050000130102776916,0.705,-5.420957313595487e-08,1.301027769129437e-07,0.0,0.12000000000000002,0.05000000000000002,0.705,2.7755575615628914e-17,1.3877787807814457e-17,0.0,0.7168856254661548,0.0,0.0032,0.0,0.0,0.0031910410898946025,1.3763998525835014e-07,0.0031910410928630327,-2.1680448045735545e-06,28.075571756570042,0.00080584876683669,-0.0021953197297186894,28.07557176813512,28.075571853964693,False,False,0.0
fixed_payload,0.006,1.493789801117678e-05,-2.2928870531392e-07,3.612840774343785e-06,0.002989493952889604,-4.582436002778493e-05,0.0007223979848253424,0.12000885050758314,0.050000122525273805,0.855,0.11999989159747775,0.05000026016525906,0.705,-1.08402522250306e-07,2.6016525905836474e-07,0.0,0.12000000000000002,0.05000000000000002,0.705,2.7755575615628914e-17,1.3877787807814457e-17,0.0,0.7168856254661548,0.0,0.0048000000000000004,0.0,0.0,0.004785062101988823,2.2928870531392e-07,0.004785062107482306,-3.6128407745472657e-06,28.113217633964858,0.0012092743339590865,-0.003305765376821413,28.11321765997299,28.113217854331474,False,False,0.0
fixed_payload,0.008,2.2416405894173832e-05,-3.437652884193679e-07,5.4183977300272504e-06,0.0037392539414985255,-5.723829155272394e-05,0.0009027784778417326,0.12001475725518929,0.050000204251861295,0.855,0.11999981935717811,0.05000043354056661,0.705,-1.8064282188146041e-07,4.3354056660643847e-07,0.0,0.11999999999999998,0.05,0.705,-1.3877787807814457e-17,0.0,0.0,0.7168856254661548,0.0,0.0064,0.0,0.0,0.006377583594105826,3.437652884193679e-07,0.006377583603370666,-5.418397730050373e-06,28.15077019572842,0.0016130241491850294,-0.004424708928315736,28.15077024194113,28.150770589676714,False,False,0.0
fixed_payload,0.01,3.139633265671212e-05,-4.810353188240575e-07,7.584530429965511e-06,0.004489963381269145,-6.86350152023448e-05,0.0010830663499691304,0.12002214548424614,0.0500003064417052,0.855,0.11999972907835196,0.050000650206993624,0.705,-2.7092164803232954e-07,6.502069936215049e-07,0.0,0.12000000000000001,0.05,0.705,1.3877787807814457e-17,0.0,0.0,0.7168856254661548,0.0,0.008,0.0,0.0,0.007968603667343288,4.810353188240575e-07,0.007968603681862455,-7.584530429927128e-06,28.188229455811786,0.0020170908158821128,-0.0055521308103016545,28.18822952798119,28.188230074772466,False,False,0.0
fixed_payload,0.012,4.187957205439197e-05,-6.410640384123418e-07,1.0111048634317207e-05,0.0052416196988399255,-8.001435979414212e-05,0.0012632591021758484,0.1200310171026837,0.05000042910689464,0.8549999999999999,0.11999962077002699,0.05000091014221346,0.7049999999999998,-3.792299730076554e-07,9.101422134560888e-07,-1.1102230246251565e-16,0.11999999999999998,0.04999999999999999,0.7049999999999997,-1.3877787807814457e-17,-1.3877787807814457e-17,-2.220446049250313e-16,0.7168856254661546,-1.1102230246251565e-16,0.009600000000000001,0.0,0.0,0.00955812042794561,6.410640384123418e-07,0.009558120449443723,-1.0111048634353637e-05,28.225595428349312,0.0024214669448350302,-0.00668801136056296,28.225595532217838,28.22559632457482,False,False,0.0
fixed_payload,0.014,5.3868012697401636e-05,-8.238163479169735e-07,1.2997757117540255e-05,0.005994220321504833,-9.137615475231585e-05,0.0014433542416115237,0.1200413740134887,0.05000057225924186,0.855,0.1199994944414343,0.050001213323280266,0.705,-5.055585656915662e-07,1.2133232802635785e-06,0.0,0.12000000000000002,0.05,0.705,2.7755575615628914e-17,0.0,0.0,0.7168856254661548,0.0,0.011200000000000002,0.0,0.0,0.0111461319873026,8.238163479169735e-07,0.011146132017746944,-1.2997757117716446e-05,28.262868127658425,0.002826145154331468,-0.00783233082891393,28.2628682689586,28.26286935422363,False,False,0.0
fixed_payload,0.016,6.736353805183701e-05,-1.0292568081346135e-06,1.6244455680784524e-05,0.00674776267721769,-0.00010272023010882005,0.001623349281622134,0.12005321811470504,0.05000073591028261,0.855,0.11999935010200764,0.05000155972663053,0.705,-6.498979923524884e-07,1.5597266305247826e-06,0.0,0.12000000000000001,0.05000000000000001,0.705,1.3877787807814457e-17,6.938893903907228e-18,0.0,0.7168856254661548,0.0,0.0128,0.0,0.0,0.012732636461948164,1.0292568081346135e-06,0.012732636503548722,-1.6244455680602954e-05,28.300047568239435,0.0032311180702477332,-0.008985069377612055,28.30004775269361,28.300049179042258,False,False,0.0
fixed_payload,0.018000000000000002,8.236802644103006e-05,-1.2573496411434156e-06,1.9850939164314336e-05,0.007502244194596527,-0.00011404641650440101,0.0018032417417649057,0.1200665512994349,0.05000092007127642,0.855,0.11999918776138306,0.050001949328084556,0.705,-8.122386169345797e-07,1.94932808455367e-06,0.0,0.12000000000000002,0.05000000000000001,0.705,2.7755575615628914e-17,6.938893903907228e-18,0.0,0.7168856254661548,0.0,0.014400000000000003,0.0,0.0,0.014317631973558974,1.2573496411434156e-06,0.014317632028768108,-1.985093916445635e-05,28.33713376477531,0.0036363783261340863,-0.010146207081747878,28.337133998095435,28.337135814537334,False,False,0.0
