experiment,time,base_x,base_y,base_yaw,base_vx,base_vy,base_yaw_rate,payload_x,payload_y,payload_z,payload_rel_x,payload_rel_y,payload_rel_z,x_des,y_des,yaw_des,tracking_error,yaw_error,ctrl_x,ctrl_y,ctrl_yaw
fixed_payload,0.0,3.208493747215146e-06,-1.2533926043282136e-08,3.4237453952433046e-07,0.001604246873607573,-6.2669630216410675e-06,0.00017118726976216521,0.12,0.05,0.855,0.12,0.05,0.705,0.0,0.0,0.0,3.2085182289057903e-06,-3.423745393860145e-07,52.5,0.0,0.0
fixed_payload,0.002,9.628255891292105e-06,-3.757945785778264e-08,1.0269012134283184e-06,0.0032098810720384797,-1.2522765907250252e-05,0.000342263336951994,0.1200031913750132,0.05000002855101578,0.855,0.11999998288126598,0.05000004108494182,0.705,0.003,0.0,0.0,0.0029903717443448352,-1.0269012133967692e-06,52.54873906214259,0.00021978239316895225,-0.0010356829820576416
fixed_payload,0.004,1.9262051042374926e-05,-7.511411782362651e-08,2.0533535063558858e-06,0.004816897575541411,-1.8767329982921933e-05,0.0005132261464637836,0.12000957691076734,0.050000085648661395,0.855,0.11999994865487605,0.05000012322811925,0.705,0.006,0.0,0.0,0.005980737949429317,-2.0533535063371744e-06,52.597317173522455,0.0004396120877787812,-0.002079252552046883
fixed_payload,0.006,3.211263377665348e-05,-1.2511527156750254e-07,3.4215008024873276e-06,0.006425291367139276,-2.5000576871938017e-05,0.0006840736480657209,0.12001915938311408,0.050000171288197545,0.855,0.11999989733207171,0.05000024640231537,0.705,0.009000000000000001,0.0,0.0,0.00896788736709612,-3.421500802680555e-06,52.64573441306957,0.0006594855435260946,-0.0031306907164411306
fixed_payload,0.008,4.818274864192662e-05,-1.8756012855777528e-07,5.131108395308465e-06,0.00803505743263657,-3.1222428495136366e-05,0.0008548037964105687,0.12003194155803412,0.050000285464532064,0.8549999999999999,0.11999982892425747,0.05000041057980363,0.7049999999999998,0.012,0.0,0.0,0.011951817252829766,-5.131108395506345e-06,52.69399085996795,0.0008793992250226932,-0.004189979408461339
fixed_payload,0.01,6.747513016318008e-05,-2.6242574270032585e-07,7.1819374974010495e-06,0.009646190760626727,-3.743280707127527e-05,0.0010254145510462922,0.12004792619164245,0.05000042817222067,0.855,0.11999974344300053,0.05000061573234923,0.705,0.015,0.0,0.0,0.014932524872142769,-7.18193749760232e-06,52.74208659365525,0.001099349601829295,-0.00525710048835107
fixed_payload,0.012,8.999250284817899e-05,-3.4968901293511264e-07,9.573745250254269e-06,0.011258686342499455,-4.363163511739339e-05,0.0011959038764266098,0.1200671160301935,0.05000059940546748,0.855,0.11999964090003032,0.05000086183121018,0.705,0.018000000000000002,0.0,0.0,0.017910007500565622,-9.573745250346377e-06,52.790021693822354,0.001319333148489146,-0.006332035743717811
fixed_payload,0.014,0.00011573758119307512,-4.493266838334438e-07,1.230628473409723e-05,0.012872539172448067,-4.981883544916558e-05,0.0013662697419214809,0.12008951381008628,0.05000079915812567,0.855,0.11999952130723811,0.050001148847138605,0.705,0.021,0.0,0.0,0.020884262423640578,-1.2306284733920592e-05,52.837796240412835,0.0015393463445614979,-0.007414766889818318
fixed_payload,0.016,0.0001447130696880287,-5.613153461959526e-07,1.537930497775228e-05,0.014487744247476791,-5.59943311812544e-05,0.0015365101218275251,0.12011512225786969,0.0500010274236981,0.8549999999999999,0.11999938467667662,0.05000147675038193,0.7049999999999998,0.024,0.0,0.0,0.023855286936915854,-1.5379304977969355e-05,52.88541031362256,0.0017593856746549658,-0.0085052755698769
fixed_payload,0.018000000000000002,0.00017692166282284486,-6.85631437651267e-07,1.8792550968509015e-05,0.016104296567408072,-6.215804572765719e-05,0.0017066229953783673,0.1201439440902478,0.050001284195337996,0.855,0.11999923102055977,0.05000184551068419,0.705,0.027000000000000003,0.0,0.0,0.026823078345939957,-1.8792550968704802e-05,52.932863993899225,0.0019794476284607622,-0.009603543355414385
fixed_payload,0.020000000000000004,0.00021236604509262456,-8.222512432553659e-07,2.254576366201888e-05,0.01772219113488985,-6.830990280204951e-05,0.0018766063467549332,0.12017598201408486,0.05000156946584943,0.855,0.11999906035126201,0.050002255097287084,0.705,0.030000000000000006,0.0,0.0,0.029787633966256,-2.254576366222949e-05,52.98015736194192,0.002199528700785796,-0.010709551746487824
fixed_payload,0.022000000000000006,0.00025104889100343024,-9.71150896091613e-07,2.6638679992210192e-05,0.019341422955402844,-7.444982641812355e-05,0.002046458165095656,0.12021123872641093,0.05000188322768817,0.855,0.1199988726813183,0.050002705478931424,0.705,0.03300000000000001,0.0,0.0,0.032748951123396035,-2.6638679992085912e-05,53.027290498700616,0.0024196253915856705,-0.011823282172085336
fixed_payload,0.024000000000000007,0.0002929728650779658,-1.1323063778714587e-06,3.1071032881223455e-05,0.020961987037267798,-8.057774088992288e-05,0.0022161764445066305,0.12024971691442682,0.05000222547296212,0.855,0.11999866802342339,0.05000319662385821,0.705,0.03600000000000001,0.0,0.0,0.03570702715287535,-3.107103288124691e-05,53.07426348537579,0.002639734205997531,-0.012944715990376084
fixed_payload,0.02600000000000001,0.0003381406218612713,-1.3056935195358035e-06,3.584255124936683e-05,0.022583878391652736,-8.669357083217244e-05,0.0023857591840716883,0.12029141925550961,0.05000259619343205,0.855,0.11999844639043164,0.05000372849980992,0.705,0.039000000000000014,0.0,0.0,0.03866185940018677,-3.584255124922109e-05,53.1210764034179,0.0028598516543728017,-0.014073834489070956
fixed_payload,0.02800000000000001,0.0003865548059264317,-1.4912880018570135e-06,4.0952960025091674e-05,0.024207092032580202,-9.279724116060497e-05,0.002555204387862421,0.12033634841721787,0.05000299538051226,0.8549999999999999,0.1199982077953566,0.050004301074031796,0.7049999999999998,0.042000000000000016,0.0,0.0,0.04161344522079499,-4.095296002493143e-05,53.16772933452701,0.0030799742523097886,-0.015210618885660658
fixed_payload,0.030000000000000013,0.0004382180518803006,-1.6890653560415787e-06,4.640198015498792e-05,0.02583162297693446,-9.888867709228258e-05,0.002724510064948123,0.12038450705729706,0.050003423025271165,0.855,0.11999795225137062,0.05000491431327302,0.705,0.04500000000000002,0.0,0.0,0.0445617819801308,-4.6401980155152955e-05,53.214222360652265,0.0033000985206861695,-0.016355050327797813
fixed_payload,0.032000000000000015,0.000493132984369238,-1.8990009643334077e-06,5.218932861379926e-05,0.02745746624446871,-0.00010496780414591446,0.002893674229405672,0.12043589782368476,0.05000387911843197,0.855,0.11999767977180446,0.050005568183788006,0.705,0.04800000000000002,0.0,0.0,0.047506867053585346,-5.2189328613838626e-05,53.26055556399148,0.0035202209856913455,-0.017507109893567564
fixed_payload,0.034000000000000016,0.0005513022180848626,-2.1210700606177485e-06,5.831471841445796e-05,0.029084616857812287,-0.0001110345481421704,0.003062694900329349,0.12049052335451615,0.05000436365037333,0.855,0.11999739037014692,0.05000626265133766,0.705,0.051000000000000024,0.0,0.0,0.0504486978265044,-5.831471841455382e-05,53.30672902699067,0.0037403381788586754,-0.01866677859178
fixed_payload,0.03600000000000002,0.0006127283577698183,-2.355247731025728e-06,6.477785861813912e-05,0.030713069842477837,-0.0001170888352039898,0.0032315701018405803,0.12054838627812942,0.05000487661113,0.855,0.11999708406004456,0.050006997681190615,0.705,0.05400000000000003,0.0,0.0,0.05338727169418259,-6.477785861802587e-05,53.3527428323436,0.003960446637097585,-0.01983403736233994
fixed_payload,0.03800000000000002,0.0006774139982235553,-2.601508914539502e-06,7.157845434433436e-05,0.03234282022686848,-0.00012313059175688681,0.0034002978630976216,0.12060948921307091,0.05000541799039344,0.8549999999999999,0.11999676085530109,0.05000777323812446,0.7049999999999998,0.05700000000000003,0.0,0.0,0.056322586061857596,-7.157845434413446e-05,53.398597062991335,0.004180542902725544,-0.021008867076494128
fixed_payload,0.04000000000000002,0.0007453617243081252,-2.859828403598004e-06,7.87162067809447e-05,0.03397386304228495,-0.00012915974452925097,0.0035688762183051716,0.1206738347681009,0.05000598777751258,0.855,0.11999642076987733,0.05000858928642712,0.705,0.06000000000000003,0.0,0.0,0.05925463834470438,-7.871620678079339e-05,53.44429180212178,0.004400623523499921,-0.022191248537189092
fixed_payload,0.04200000000000002,0.0008165741109539908,-3.1301808447032915e-06,8.619081319439253e-05,0.03560619332293279,-0.0001351762205526439,0.0037373032067239205,0.12074142554219867,0.05000658596149434,0.855,0.11999606381789055,0.05000944578989794,0.705,0.06300000000000003,0.0,0.0,0.06218342596782935,-8.619081319460875e-05,53.48982713316924,0.004620685052649714,-0.023381162479350865
fixed_payload,0.044000000000000025,0.0008910537231658496,-3.412540739027475e-06,9.40019669397526e-05,0.0372398061059294,-0.00014117994716209164,0.003905576872680033,0.12081226412456822,0.05000721253100441,0.8549999999999999,0.11999569001361422,0.050010342711849114,0.7049999999999998,0.06600000000000003,0.0,0.0,0.06510894636626455,-9.40019669397607e-05,53.535203139813966,0.004840724048907152,-0.024578589570208743
fixed_payload,0.04600000000000003,0.0009688031160284721,-3.706882443020221e-06,0.00010214935747090174,0.0388746964313112,-0.0001471708519963732,0.00407369526557457,0.12088635309464359,0.05000786747436789,0.855,0.11999529937147774,0.050011280015106914,0.705,0.06900000000000003,0.0,0.0,0.06803119698496182,-0.00010214935747088205,53.580419905981664,0.005060737076539169,-0.025783510409574214
fixed_payload,0.04800000000000003,0.0010498248347125536,-4.013180169016829e-06,0.0001106326703506874,0.04051085934204074,-0.0001531488629983042,0.00424165643989283,0.12096369502209432,0.05000855077956989,0.8549999999999999,0.11999489190606585,0.05001225766201291,0.7049999999999998,0.07200000000000004,0.0,0.0,0.07095017527878696,-0.00011063267035060775,53.625477515843116,0.00528072070537877,-0.02699590553021947
fixed_payload,0.05000000000000003,0.001134121414480581,-4.331407985846863e-06,0.00011945158726111469,0.04214828988401375,-0.0001591139084150169,0.004409458455213642,0.12104429246683103,0.050009262434256296,0.8549999999999999,0.11999446763211848,0.05001327561442531,0.7049999999999998,0.07500000000000004,0.0,0.0,0.0738658787125138,-0.00011945158726112126,53.67037605381364,0.005500671510856236,-0.028215755398122176
fixed_payload,0.05200000000000003,0.0012216953806927135,-4.661539819443335e-06,0.00012860578601355183,0.043786983106066234,-0.000165065916798236,0.0045770993762185765,0.12112814797901082,0.05001000242573436,0.855,0.11999402656453025,0.05001433383372021,0.705,0.07800000000000004,0.0,0.0,0.07677830476081836,-0.00012860578601348038,53.7151156045527,0.005720586074030232,-0.02944304041280988
fixed_payload,0.054000000000000034,0.0013125492488126767,-5.003549453452435e-06,0.00013809494055895405,0.04542693405998155,-0.00017100481700455019,0.00474457727270111,0.12121526409904287,0.05001077074097344,0.855,0.11999356871835017,0.05001543228079288,0.705,0.08100000000000004,0.0,0.0,0.079687450908273,-0.0001380949405591636,53.75969625296344,0.005940460981618777,-0.03067774090764847
fixed_payload,0.056000000000000036,0.0014066855244136715,-5.357410529843794e-06,0.00014791872099810546,0.047068137800497414,-0.00017693053819567938,0.0049118902195757,0.1213056433575939,0.05001156736660564,0.8549999999999999,0.11999309410878123,0.05001657091605909,0.7049999999999998,0.08400000000000005,0.0,0.0,0.08259331464934044,-0.0001479187209980637,53.804118084192204,0.006160292826030092,-0.031919837150185745
fixed_payload,0.05800000000000004,0.0015041067031842975,-5.72309654952127e-06,0.0001580767935918791,0.04871058938531298,-0.0001828430098387383,0.005079036296886823,0.12139928827559386,0.050012392288926504,0.855,0.11999260275118019,0.05001774969945635,0.705,0.08700000000000005,0.0,0.0,0.08549589348836785,-0.00015807679359181037,53.84838118362812,0.006380078205393312,-0.03316930934240579
fixed_payload,0.06000000000000004,0.0016048152709344891,-6.100580872934261e-06,0.00016856882077151495,0.050354283875095836,-0.00018874216170649527,0.0052460135898179175,0.12149620136424125,0.05001324549389568,0.855,0.11999209466105695,0.050018968590445204,0.705,0.09000000000000005,0.0,0.0,0.08839518493958091,-0.00016856882077131985,53.89248563690259,0.006599813723589085,-0.034426137621116196
fixed_payload,0.06200000000000004,0.0017088137036014672,-6.489836720689516e-06,0.00017939446114891553,0.05199921633348902,-0.0001946279238776274,0.005412820188700286,0.121596385125009,0.05001412696713767,0.855,0.11999156985407451,0.0500202275480106,0.705,0.09300000000000005,0.0,0.0,0.09129118652707792,-0.0001793944611487852,53.936431529888935,0.006819495990280033,-0.0356903020581905
fixed_payload,0.06400000000000004,0.0018161044672557033,-6.890837174163458e-06,0.00019055336952695937,0.05364538182711802,-0.00020050022673697137,0.005579454189021917,0.12169984204964979,0.0500150366939424,0.855,0.11999102834604831,0.050021526530663094,0.705,0.09600000000000006,0.0,0.0,0.09418389578482374,-0.0001905533695270023,53.98021894870183,0.007039121620941092,-0.036961782660921344
fixed_payload,0.06600000000000004,0.0019266900181068988,-7.303555176114999e-06,0.00020204519690983187,0.05529277542559775,-0.00020635900097577017,0.005745913691436252,0.12180657462020182,0.05001597465926603,0.855,0.11999047015294612,0.050022865496440194,0.705,0.09900000000000006,0.0,0.0,0.09707331025664384,-0.00020204519691002787,54.023847979696924,0.007258687236889719,-0.03824055937230656
fixed_payload,0.06800000000000005,0.002040572802509978,-7.727963531298831e-06,0.00021386959051337363,0.05694139220153952,-0.00021220417759191572,0.00591219680177088,0.12191658530899445,0.050016940847731575,0.855,0.11998989529088755,0.05002424440290769,0.705,0.10200000000000006,0.0,0.0,0.09995942749621839,-0.0002138695905133936,54.067318709470335,0.007478189465315981,-0.039526612071368206
fixed_payload,0.07000000000000005,0.0021577552569710936,-8.164034907079206e-06,0.000226026193775446,0.058591227230558006,-0.00021803568789018743,0.006078301631036176,0.12202987657865373,0.05001793524362962,0.8549999999999999,0.11998930377614375,0.05002566320716092,0.7049999999999998,0.10500000000000007,0.0,0.0,0.1028422450670761,-0.00022602619377565247,54.11063122485827,0.007697624939312509,-0.04081992057346012
fixed_payload,0.07200000000000005,0.00227823980815365,-8.61174183404418e-06,0.0002385146463663137,0.06024227559127818,-0.00022385346348248645,0.006244226295433858,0.12214645088210813,0.050018957830919024,0.8549999999999999,0.11998869562513703,0.050027121865826106,0.7049999999999998,0.10800000000000007,0.0,0.0,0.10572176054258829,-0.00023851464636637232,54.15378561293649,0.007916990297904332,-0.04212046463060837
fixed_payload,0.07400000000000005,0.0024020288728843343,-9.071056706620312e-06,0.0002513345841990447,0.06189453236534223,-0.0002296574362880662,0.006409968916365506,0.12226631066259422,0.05002000859322763,0.855,0.11998807085444056,0.050028620335061676,0.705,0.11100000000000007,0.0,0.0,0.10859797150596291,-0.00025133458419901444,54.19678196101989,0.008136282186078573,-0.04342822393176246
