experiment,time,base_x,base_y,base_yaw,base_vx,base_vy,base_yaw_rate,payload_x,payload_y,payload_z,payload_rel_x,payload_rel_y,payload_rel_z,payload_disp_x,payload_disp_y,payload_disp_z,x_des,y_des,yaw_des,tracking_error,lateral_error,yaw_error,ctrl_x,ctrl_y,ctrl_yaw
free_payload,0.0,1.3784048053152716e-06,5.608658086571318e-07,5.638831377111597e-06,0.0006892024026576357,0.0002804329043285659,0.0028194156885557988,0.12,0.05,0.75,0.12,0.05,0.6,0.0,0.0,0.0,0.0,0.0,0.5323280990604766,1.4881432265198301e-06,-5.608658086571318e-07,0.5323224602290995,21.0,12.370021073509811,13.308202476511921
free_payload,0.002,4.133789090629357e-06,1.6813131419626138e-06,1.690529090852162e-05,0.0013776921426570427,0.0005602236666527409,0.00563322976570501,0.12000106013295145,0.05000119640850083,0.7510861217461191,0.11999968172814614,0.05000063554269217,0.6010861217461191,-3.182718538580209e-07,6.35542692167812e-07,0.0010861217461191064,0.0012,0.0007068580563738956,0.5323275595494079,0.0013882976026738398,0.000705176743231933,0.5323106542584997,21.017829671738795,12.38491106262943,13.287894457044064
free_payload,0.004,8.265199780802696e-06,3.3605862175412756e-06,3.3788374481161374e-05,0.00206570534508667,0.0008396365377893309,0.00844154178631988,0.12000318693585497,0.050003595016796513,0.7530222905899331,0.11999905314676435,0.05000191370365455,0.6030222905899331,-9.468532356504689e-07,1.9137036545505137e-06,0.0030222905899330854,0.0024,0.0014137143686458037,0.5323259410154755,0.0027765974044123265,0.0014103537824282624,0.532292152640994,21.03563609238883,12.399773358562589,13.26745237661157
free_payload,0.006,1.3772058153733493e-05,5.5983478351844755e-06,5.6277224696235566e-05,0.0027534291864653986,0.0011188808088215998,0.011244425107537094,0.12000638586560781,0.05000720040702592,0.7556125023809508,0.11999812066582702,0.05000383982080838,0.6056125023809508,-1.879334172977254e-06,3.839820808378136e-06,0.00561250238095079,0.0036,0.00212056719271804,0.5323232434565006,0.004163426961735252,0.0021149688448828556,0.5322669662318043,21.053411030929638,12.414598678052638,13.246875908576055
free_payload,0.008,2.065408215681566e-05,8.394592217953242e-06,8.43610893888548e-05,0.003441012001541084,0.0013981221913843829,0.014041932346309615,0.12001066152026292,0.050012016200595845,0.7586945573549349,0.1199968894621092,0.05000641785276066,0.6086945573549348,-3.1105378908019565e-06,6.417852760655374e-06,0.008694557354934851,0.0048,0.002827414784501528,0.532319466868852,0.005548785655159769,0.0028190201922835747,0.5322351057794634,21.071147956438327,12.429379646858818,13.226164879781624
free_payload,0.01,2.8911224704461887e-05,1.174957579424801e-05,0.00011802928874853838,0.004128571273823112,0.0016774917881473847,0.016834099679841785,0.12001601781460325,0.050018045255161625,0.7621347412563664,0.11999536373244643,0.050009650662943675,0.6121347412563664,-4.636267553564943e-06,9.650662943672117e-06,0.012134741256366377,0.006,0.0035342553999201005,0.5323146112474461,0.0069326725325419,0.0035225058241258526,0.5321965819586976,21.08884168707057,12.444110404497023,13.205319238846737
free_payload,0.012,3.8543624635431114e-05,1.5663762168363702e-05,0.0001572711892386396,0.004816199965484613,0.001957093187057846,0.019620950245050617,0.12002245811959801,0.05002528982106022,0.7658233126643309,0.11999354689489355,0.05001354024526597,0.6158233126643309,-6.453105106440926e-06,1.3540245265966644e-05,0.015823312664330902,0.0072,0.004241087294914803,0.5323086765857469,0.008315086376420706,0.004225423532746439,0.5321514053965082,21.106488112551535,12.458786292695645,13.184339031183676
free_payload,0.014,4.955156771799467e-05,2.013777834714433e-05,0.0002020761829065914,0.005503971541281779,0.0022370080893903137,0.0224024968339759,0.12002998537324791,0.050033751665677625,0.7696706763407959,0.11999144174861248,0.05001808790350926,0.6196706763407959,-8.55825138751376e-06,1.8087903509260428e-05,0.01967067634079589,0.0084,0.0049479087254482,0.5323016628757666,0.009696025759417836,0.004927770947101055,0.5320995866928602,21.124083974345798,12.473403609023267,13.163224379253949
free_payload,0.016,6.19354556434521e-05,2.5172379921300395e-05,0.0002524336709800076,0.00619194396272871,0.002517300787078032,0.02517874403670808,0.12003860216872254,0.050043432172378235,0.77360414019785,0.11998905060100455,0.05002329439403109,0.6236041401978499,-1.0949398995444004e-05,2.329439403108563e-05,0.023604140197849954,0.0096,0.005654717947508673,0.5322935701080657,0.011075489088516771,0.005629545567587373,0.5320411364370856,21.141626691185007,12.487959411439133,13.14197546691319
free_payload,0.018000000000000002,7.569578137964316e-05,3.076842338682223e-05,0.00030833305087768313,0.00688016286809553,0.0027980217327609196,0.02794968994883777,0.1200483108244444,0.05005433241919718,0.7775651686379187,0.11998637536880095,0.05002916003927588,0.6275651686379187,-1.3624631199041226e-05,2.9160039275874516e-05,0.02756516863791869,0.0108,0.006361513217114731,0.532284398271753,0.012453474640309483,0.006330744793727908,0.5319760652208751,21.159114220356976,12.502451362805365,13.120592526963847
free_payload,0.020000000000000004,9.131420388013329e-05,3.7462959900683606e-05,0.0003700796153604097,0.0078092112502450624,0.003347268256930687,0.030873282241363285,0.12005911343979937,0.05006645324139621,0.781507057943762,0.11998341765841973,0.05003568481800939,0.6315070579437619,-1.658234158026517e-05,3.5684818009390495e-05,0.03150705794376196,0.012000000000000002,0.007068292790319304,0.5322741473544863,0.013829293745344027,0.007030829830418621,0.5319040677391258,21.17654494726837,12.516877606904169,13.099075831235313
free_payload,0.022000000000000006,0.00010879134464436564,4.525632835235725e-05,0.0004376619442247059,0.008738570382116173,0.003896684225836823,0.03379116443214811,0.12006991605515434,0.05007857406359525,0.7854097072496052,0.11997860185127421,0.050041111103694566,0.6354097072496052,-2.139814872578749e-05,4.111110369456328e-05,0.03540970724960524,0.013200000000000003,0.007775054923214058,0.5322628173424723,0.015202944792874318,0.007729798594861701,0.5318251553982476,21.18548160910562,12.521835880056463,13.076470056685878
free_payload,0.024000000000000007,0.00012812781845042512,5.41488609657651e-05,0.0005110685577942,0.009668236903029747,0.004446266306703929,0.036703306784747015,0.1200807186705093,0.05009069488579428,0.7892731165554485,0.11997192732586494,0.050045438557441924,0.6392731165554485,-2.807267413505732e-05,4.5438557441920824e-05,0.03927311655544852,0.014400000000000003,0.008481797871933682,0.5322504082204675,0.016574426186705748,0.008427649010967918,0.5317393396626735,21.194342339563377,12.526718574837815,13.053725622981768
free_payload,0.02600000000000001,0.00014932423336406675,6.414088330380154e-05,0.0005902879171389944,0.010598207456820821,0.004996011169018218,0.0396096796723972,0.12009152128586427,0.05010281570799332,0.7930972858612918,0.11996339346741385,0.05004866684702755,0.6430972858612918,-3.660653258615032e-05,4.866684702754809e-05,0.0430972858612918,0.015600000000000004,0.009188519892660209,0.5322369199717786,0.017943736343139206,0.009124379009356406,0.5316466320546396,21.203127234748194,12.531525736099908,13.030842990767033
free_payload,0.02800000000000001,0.00017238119074774989,7.523271427287646e-05,0.0006753084242953347,0.01152847869184157,0.005545915484537459,0.04251025357817011,0.12010232390121924,0.050114936530192354,0.7968822151671351,0.11995299966785516,0.05005079564688855,0.6468822151671351,-4.70003321448309e-05,5.0795646888548984e-05,0.04688221516713509,0.016800000000000006,0.009895219241627302,0.5322223525782623,0.01931087368979513,0.009819986527354425,0.5315470441539669,21.21183639084353,12.536257408925508,13.007822621474276
free_payload,0.030000000000000013,0.0001972992852696784,8.742466612747827e-05,0.0007661184224855783,0.012459047260964268,0.0060959759273009105,0.045404999095121835,0.1201131265165742,0.05012705735239139,0.8006279044729784,0.11994074532582645,0.05005182463811851,0.6506279044729784,-5.925467417354502e-05,5.182463811850835e-05,0.05062790447297838,0.018000000000000006,0.010601894175124572,0.5322067060203269,0.020675836664906435,0.010514469508997093,0.5314405875978414,21.220469904109375,12.540913638628105,12.984664977318394
