experiment,time,base_x,base_y,base_yaw,base_vx,base_vy,base_yaw_rate,payload_x,payload_y,payload_z,payload_rel_world_x,payload_rel_world_y,payload_rel_world_z,payload_disp_world_x,payload_disp_world_y,payload_disp_world_z,payload_rel_base_x,payload_rel_base_y,payload_rel_base_z,payload_disp_base_x,payload_disp_base_y,payload_disp_base_z,payload_distance,payload_distance_change,x_des,y_des,yaw_des,x_error,y_error,tracking_error,yaw_error,ctrl_x,ctrl_y,ctrl_yaw,control_effort,total_control_effort,ctrl_x_saturated,ctrl_y_saturated,disturbance_fx
sliding_payload,0.0,3.1453732885708744e-06,-4.29510584089083e-11,9.942808830920082e-10,0.0015726866442854373,-2.1475529204454148e-08,4.97140441546004e-07,0.12,0.05,0.855,0.12,0.05,0.705,0.0,0.0,0.0,0.12,0.05,0.705,0.0,0.0,0.0,0.7168856254661548,0.0,0.0,0.0,0.0,-3.1453732885708744e-06,4.29510584089083e-11,3.1453732888641295e-06,-9.942811018959219e-10,28.0,0.0,0.0,28.0,28.0,False,False,0.0
sliding_payload,0.002,9.432321731643848e-06,-1.7191559356839607e-10,3.981158599029446e-09,0.003143474221536487,-6.448226757974389e-08,1.493438857968719e-06,0.1200000078436997,0.050000000076359526,0.855,0.11999686247041112,0.050000000119310585,0.705,-3.1375295888730337e-06,1.19310582247234e-10,0.0,0.11999686252012516,0.049999999999999996,0.705,-3.1374798748345922e-06,-6.938893903907228e-18,0.0,0.7168851002878173,-5.251783374848884e-07,0.0016,0.0,0.0,0.0015905676782683562,1.7191559356839607e-10,0.0015905676782683655,-3.9811585139659655e-09,28.008830152518467,7.533615644922515e-07,-3.007699676823422e-06,28.008830152518478,28.00883015251864,False,False,0.0
sliding_payload,0.004,1.8857015382698597e-05,-4.3005276947481834e-10,9.962911914666898e-09,0.004712346825527375,-1.2906858795321113e-07,2.9908766578187255e-06,0.120000031420754,0.05000000030578601,0.855,0.11999059909902235,0.0500000004777016,0.705,-9.400900977646343e-06,4.777016004986478e-10,0.0,0.11999059929808029,0.049999999999999996,0.705,-9.400701919709542e-06,-6.938893903907228e-18,0.0,0.7168840519358151,-1.5735303396935407e-06,0.0032,0.0,0.0,0.0031811429846173014,4.3005276947481834e-10,0.0031811429846173305,-9.962911828864662e-09,28.017601109376958,2.263755989033772e-06,-9.060162110661463e-06,28.01760110937705,28.017601109378514,False,False,0.0
sliding_payload,0.006,3.141559283349366e-05,-8.606039241592683e-10,1.9945710280544584e-08,0.006279288725397529,-2.15275577342225e-07,4.991399182938842e-06,0.12000007866629771,0.05000000076530958,0.855,0.11998122165091502,0.050000001195362354,0.705,-1.8778349084980217e-05,1.1953623507698907e-09,0.0,0.11998122214906062,0.05000000000000001,0.705,-1.877785093937212e-05,6.938893903907228e-18,0.0,0.7168824824672327,-3.1429989220121968e-06,0.0048000000000000004,0.0,0.0,0.004768584407166506,8.606039241592683e-10,0.0047685844071665845,-1.994571041663562e-08,28.026313580491237,4.534602689141382e-06,-1.819433274263397e-05,28.026313580491603,28.02631358049751,False,False,0.0
sliding_payload,0.008,4.7104161564078375e-05,-1.506878043923626e-09,3.4939541812826914e-08,0.007844284365292357,-3.231370598821789e-07,7.496915766141164e-06,0.12000015756047018,0.050000001532257865,0.855,0.11996874196763668,0.050000002392861786,0.705,-3.1258032363312704e-05,2.3928617837176702e-09,0.0,0.11996874296492223,0.05000000000000001,0.705,-3.125703507776689e-05,6.938893903907228e-18,0.0,0.7168803939909247,-5.231475230016436e-06,0.0064,0.0,0.0,0.006352895838435922,1.506878043923626e-09,0.006352895838436101,-3.493954192634874e-08,28.03496827089775,7.569069363944246e-06,-3.0447037858048942e-05,28.034968270898773,28.034968270915304,False,False,0.0
sliding_payload,0.01,6.591879829207654e-05,-2.412237286595267e-09,5.595814138978388e-08,0.009407318363999084,-4.526796213358206e-07,1.0509299788478485e-05,0.1200002761279404,0.05000000268423086,0.855,0.11995317196637632,0.05000000419110891,0.705,-4.682803362367205e-05,4.191108904372243e-09,0.0,0.1199531737133535,0.05000000000000001,0.705,-4.6826286646498017e-05,6.938893903907228e-18,0.0,0.716877788666873,-7.836799281735196e-06,0.008,0.0,0.0,0.007934081201707924,2.412237286595267e-09,0.00793408120170829,-5.595814123182663e-08,28.043565880752205,1.1370072217633206e-05,-4.58549831450057e-05,28.04356588075451,28.043565880792,False,False,0.0
sliding_payload,0.012,8.785554932123193e-05,-3.6200825569289547e-09,8.401891886201364e-08,0.01096837551457769,-6.039226351668438e-07,1.4030388736114876e-05,0.12000044243743223,0.05000000429907582,0.8549999999999999,0.11993452363914014,0.050000006711313105,0.7049999999999998,-6.547636085985076e-05,6.711313102480965e-09,-1.1102230246251565e-16,0.1199345264370474,0.04999999999999999,0.7049999999999997,-6.547356295259765e-05,-1.3877787807814457e-17,-2.220446049250313e-16,0.7168746687055406,-1.0956760614133643e-05,0.009600000000000001,0.0,0.0,0.009512144450678769,3.6200825569289547e-09,0.009512144450679457,-8.401891893328184e-08,28.05210710532835,1.594027623821753e-05,-6.445475226166658e-05,28.052107105332876,28.052107105406925,False,False,0.0
sliding_payload,0.014,0.0001129104308892059,-5.1738391372508395e-09,1.2014288737563257e-07,0.012527440783986984,-7.768782901609426e-07,1.806198425680947e-05,0.12000066460124995,0.05000000645486219,0.855,0.11991280905192872,0.05000001007494475,0.705,-8.719094807127514e-05,1.0074944746529813e-08,0.0,0.11991281325287508,0.049999999999999996,0.705,-8.718674712492047e-05,-6.938893903907228e-18,0.0,0.7168710363672247,-1.4589098930040123e-05,0.011200000000000002,0.0,0.0,0.011087089569110796,5.1738391372508395e-09,0.011087089569112004,-1.201428871944188e-07,28.06059263501693,2.1282095533116693e-05,-8.62828053900213e-05,28.060592635025,28.060592635157654,False,False,0.0
sliding_payload,0.016,0.00014107942951461757,-7.116942376406664e-09,1.653545918077107e-07,0.01408449931270584,-9.715516195779125e-07,2.260585221603907e-05,0.12000095077480406,0.050000009229856555,0.855,0.11988804034391486,0.05000001440369569,0.705,-0.00011195965608513936,1.4403695687559281e-08,0.0,0.1198880463510601,0.05,0.705,-0.00011195364893989979,0.0,0.0,0.7168668939614061,-1.8731504748625838e-05,0.0128,0.0,0.0,0.012658920570485383,7.116942376406664e-09,0.012658920570487385,-1.653545917967847e-07,28.069023155324892,2.7397693721123022e-05,-0.0001113754777207173,28.069023155338265,28.069023155559226,False,False,0.0
sliding_payload,0.018000000000000002,0.00017235850234331688,-9.492823440038547e-09,2.206820373131737e-07,0.01563953641434966,-1.1879405318159412e-06,2.7663722752731493e-05,0.12000130915613738,0.05000001270249767,0.855,0.11986022972662276,0.05000001981944004,0.705,-0.0001397702733772349,1.981944004053604e-08,0.0,0.11986023799435398,0.049999999999999996,0.705,-0.00013976200564601304,-6.938893903907228e-18,0.0,0.7168622438460984,-2.33816200563286e-05,0.014400000000000003,0.0,0.0,0.014227641497656686,9.492823440038547e-09,0.014227641497659854,-2.2068203753278226e-07,28.077399346874714,3.428898438028321e-05,-0.00013976897809115404,28.07739934689565,28.077399347243535,False,False,0.0
