experiment,time,base_x,base_y,base_yaw,base_vx,base_vy,base_yaw_rate,payload_x,payload_y,payload_z,payload_rel_x,payload_rel_y,payload_rel_z,payload_disp_x,payload_disp_y,payload_disp_z,x_des,y_des,yaw_des,tracking_error,lateral_error,yaw_error,ctrl_x,ctrl_y,ctrl_yaw
fixed_payload,0.0,1.3672326372765939e-06,5.485351110340746e-07,5.633012288806786e-06,0.0006836163186382969,0.0002742675555170373,0.0028165061444033928,0.12,0.05,0.855,0.12,0.05,0.705,0.0,0.0,0.0,0.0,0.0,0.5323280990604766,1.4731652495465247e-06,-5.485351110340746e-07,0.5323224660481878,21.0,12.370021073509811,13.308202476511921
fixed_payload,0.002,4.102564163513466e-06,1.6468604677722329e-06,1.6889041033654092e-05,0.0013676657631184362,0.0005491626783690792,0.005628014372423653,0.12000108558011897,0.050001224495792425,0.8549999999999999,0.1199997183474817,0.05000067596068139,0.7049999999999998,-2.8165251829415094e-07,6.759606813871999e-07,-1.1102230246251565e-16,0.0012,0.0007068580563738956,0.5323275595494079,0.001388341999606591,0.0007052111959061233,0.532310670508374,21.018025575705355,12.385127281412249,13.287912059786185
fixed_payload,0.004,8.206859579042335e-06,3.2962301561748056e-06,3.375803676026063e-05,0.0020521477077644346,0.0008246848442012862,0.008434497863303268,0.12000325809499748,0.050003673538260726,0.855,0.11999915553083397,0.05000202667779295,0.705,-8.44469166025319e-07,2.026677792948961e-06,0.0,0.0024,0.0014137143686458037,0.5323259410154755,0.002776680347455446,0.001410418138489629,0.5322921829787153,21.035988108545133,12.400161698996117,13.267484075218128
fixed_payload,0.006,1.3680982614470903e-05,5.4978971928962425e-06,5.622989654172419e-05,0.0027370615177142836,0.0011008335183607186,0.011235929890731777,0.12000651888936506,0.050007347166076514,0.855,0.11999831202978602,0.05000405093592034,0.705,-1.6879702139788177e-06,4.050935920339727e-06,0.0,0.0036,0.00212056719271804,0.5323232434565006,0.004163556438831391,0.002115069295525144,0.532267013559959,21.053887590142978,12.415124239790368,13.246918930557174
fixed_payload,0.008,2.0525795712169875e-05,8.253113504754719e-06,8.429446418760326e-05,0.003422406548849485,0.0013776081559292383,0.014032283822939537,0.12001086929808077,0.050012245405729315,0.8549999999999999,0.11999718831546631,0.05000674750853642,0.7049999999999998,-2.811684533685077e-06,6.747508536415758e-06,-1.1102230246251565e-16,0.0048,0.002827414784501528,0.532319466868852,0.005548968029883583,0.002819161670996773,0.5322351724046643,21.071724012488495,12.43001481779743,13.226217034286316
fixed_payload,0.01,2.8742160007621218e-05,1.1563129908266986e-05,0.00011794153043318414,0.004108182147725672,0.0016550082017561336,0.016823533122790436,0.12001631064617437,0.050018368271556375,0.8549999999999999,0.1199957848504622,0.05001011515805162,0.7049999999999998,-4.2151495378006665e-06,1.0115158051618445e-05,-1.1102230246251565e-16,0.006,0.0035342553999201005,0.5323146112474461,0.006932912881384821,0.0035226922700118336,0.5321966697170128,21.08949736794034,12.444833347492917,13.205378795616992
fixed_payload,0.012,3.833093531062986e-05,1.542919608924791e-05,0.0001571608331289312,0.004794387651504321,0.001933033090490463,0.01960965134787353,0.12002284424888736,0.05002571576577232,0.855,0.11999410208887974,0.050014152635864055,0.705,-5.897911120253396e-06,1.4152635864052299e-05,0.0,0.0072,0.004241087294914803,0.5323086765857469,0.008315388755812846,0.004225658098825555,0.5321515157526182,21.107207649229334,12.45957974382535,13.184404624483864
fixed_payload,0.014,4.929298008640094e-05,1.9852560582474137e-05,0.00020194205743011856,0.005481022387885543,0.0022116822466131123,0.022390612150593674,0.12003047141171487,0.0500342878784989,0.8549999999999999,0.11999214047640425,0.050018858682409656,0.7049999999999998,-7.85952359574904e-06,1.885868240965316e-05,-1.1102230246251565e-16,0.0084,0.0049479087254482,0.5323016628757666,0.00969639341696207,0.004928056164865725,0.5320997208183367,21.124854849461478,12.474253922215892,13.163294931539761
fixed_payload,0.016,6.162915143648488e-05,2.4834470751411264e-05,0.0002522748359866407,0.006168085675041969,0.002490955084468564,0.02516638927826105,0.12003919343044785,0.05004408458779452,0.8549999999999999,0.11998990045036144,0.05002423202721204,0.7049999999999998,-1.0099549638556415e-05,2.423202721203721e-05,-1.1102230246251565e-16,0.0096,0.005654717947508673,0.5322935701080657,0.011075924629871345,0.005629883476757262,0.5320412952720792,21.142438962120984,12.488855798558097,13.142050128150407
fixed_payload,0.018000000000000002,7.53403050795923e-05,3.0376172768004013e-05,0.00030814874913300005,0.006855576821553711,0.002770851008296374,0.027936956573179687,0.12004901159121541,0.050055105859683896,0.8550000000000001,0.11998738243977893,0.050030271388932485,0.7050000000000001,-1.2617560221070412e-05,3.0271388932481824e-05,1.1102230246251565e-16,0.0108,0.006361513217114731,0.532284398271753,0.012453980160822069,0.0063311370443467265,0.5319762495226201,21.15995998107325,12.503385289217642,13.120670626389368
